BRAND,MODEL,YEAR,KILO,LOCATION,Certificate,Warranty,PRICE
NISSAN,BLUEBIRD SYLPHY,2007年,13.3萬公里,嘉義市/龍順汽車,1,1,13.0萬
TOYOTA,VIOS,2007年,22.8萬公里,基隆市/南欣汽車,1,1,12.8萬
NISSAN,MARCH,2002年,13.2萬公里,台中市/詮豐汽車,1,1,9.9萬
FORD,METROSTAR,2005年,16.1萬公里,彰化縣/高通汽車,1,1,12.0萬
FORD,FOCUS,2005年,15.3萬公里,高雄市/乙鈞汽車,1,1,12.8萬
MITSUBISHI,CANTER,1997年,21萬公里,台南市/聯運汽車,1,1,13.8萬
TOYOTA,ZACE,2004年,17萬公里,台中市/和盛汽車,1,1,13.8萬
NISSAN,SENTRA,2003年,18.6萬公里,桃園市/忠信汽車,1,1,9.8萬
MAZDA,MAZDA,2005年,23.7萬公里,台中市/和亞汽車,1,1,14.8萬
VOLKSWAGEN,LUPO,2002年,15.4萬公里,台南市/聯運汽車,1,1,9.8萬
SUZUKI,SOLIO,2005年,19.9萬公里,台中市/坦格汽車,1,1,13.8萬
MITSUBISHI,GLOBAL,2006年,4.5萬公里,高雄市/乙鈞汽車,1,1,13.8萬
TOYOTA,VIOS,2004年,16.2萬公里,桃園市/永興汽車,1,1,13.8萬
MITSUBISHI,SAVRIN,2005年,16.2萬公里,基隆市/九泰汽車,1,1,13.8萬
FORD,ESCAPE,2004年,14.8萬公里,屏東縣/匯盛汽車,1,1,11.8萬
MITSUBISHI,SAVRIN,2005年,18.3萬公里,台中市/金沙汽車,1,1,13.5萬
MITSUBISHI,VARICA,2001年,17.8萬公里,南投縣/東樺汽車,1,1,13.9萬
TOYOTA,VIOS,2004年,16.4萬公里,嘉義縣/明興汽車,1,1,12.9萬
TOYOTA,ZACE,2001年,10.8萬公里,彰化縣/竣富汽車,1,1,9.8萬
MAZDA,323,2006年,14.9萬公里,彰化縣/竣富汽車,1,1,14.8萬
MAZDA,PREMACY,2003年,16.4萬公里,彰化縣/竣富汽車,1,1,10.8萬
FORD,ESCAPE,2006年,28.1萬公里,台中市/和盛汽車,1,1,14.8萬
NISSAN,TEANA,2005年,19.6萬公里,高雄市/辰泰汽車,1,1,13.8萬
HONDA,ACCORD,2004年,11.1萬公里,新北市/鼎昇汽車,1,1,12.8萬
FORD,ESCAPE,2003年,15.3萬公里,嘉義市/宇勝汽車,1,1,11.8萬
MITSUBISHI,OUTLANDER,2004年,24萬公里,雲林縣/安鑫汽車,1,1,13.8萬
TOYOTA,VIOS,2005年,17.5萬公里,基隆市/九泰汽車,1,1,13.8萬
NISSAN,SENTRA,2006年,18萬公里,台北市/鴻揚汽車,1,1,11.8萬
NISSAN,MARCH,2003年,13.2萬公里,嘉義縣/長億車業,1,1,9.8萬
FORD,ESCAPE,2004年,11.5萬公里,嘉義市/宇勝汽車,1,1,13.8萬
CHERY,FRESH,2012年,3.6萬公里,高雄市/佳裕汽車,1,1,13.0萬
MAZDA,ISAMU,2004年,9.6萬公里,台中市/金沙汽車,1,1,9.5萬
MITSUBISHI,FREECA,2004年,18.8萬公里,台中市/弘宇車業,1,1,8.5萬
PEUGEOT,206,2004年,11.1萬公里,台中市/元盛汽車,1,1,12.8萬
MITSUBISHI,LANCER,2003年,9.4萬公里,台南市/嘉聯汽車,1,1,14.6萬
SUZUKI,SOLIO,2005年,15.7萬公里,台中市/和亞汽車,1,1,12.8萬
VOLKSWAGEN,BEETLE,1999年,12.2萬公里,嘉義市/尚宏汽車,1,1,13.8萬
TOYOTA,TERCEL,2002年,7.8萬公里,台中市/坦格汽車,1,1,12.8萬
NISSAN,SERENA,2002年,18.6萬公里,台南市/福成汽車,1,1,13.8萬
TOYOTA,PREMIO,1999年,6.8萬公里,台南市/福成汽車,1,1,14.0萬
MITSUBISHI,SAVRIN,2004年,12.8萬公里,高雄市/上暘汽車,1,1,12.0萬
TOYOTA,VIOS,2004年,19.7萬公里,新竹縣/光華汽車,1,1,14.8萬
HYUNDAI,MATRIX,2005年,10.3萬公里,桃園市/正達汽車,1,1,11.8萬
TOYOTA,VIOS,2005年,18.4萬公里,雲林縣/車寶貝汽車,1,1,12.8萬
FORD,ESCAPE,2004年,16.1萬公里,彰化縣/高通汽車,1,1,14.8萬
TOYOTA,VIOS,2005年,13.9萬公里,新北市/金隆汽車,1,1,14.8萬
TOYOTA,TERCEL,1996年,15.6萬公里,台中市/弘宇車業,1,1,5.8萬
HYUNDAI,MATRIX,2004年,14萬公里,台中市/佳韻汽車,1,1,9.8萬
NISSAN,SENTRA,2006年,10.8萬公里,基隆市/九泰汽車,1,1,11.8萬
NISSAN,MARCH,2004年,13.8萬公里,宜蘭縣/竑沅汽車,1,1,9.8萬
TOYOTA,TERCEL,2002年,15.1萬公里,台中市/弘宇車業,1,1,9.5萬
LEXUS,ES330,2005年,38.4萬公里,台北市/鴻揚汽車,1,1,12.8萬
SUZUKI,SOLIO,2004年,13.5萬公里,台中市/威尼斯汽車城,1,1,12.3萬
SUZUKI,SOLIO,2006年,16萬公里,台中市/威尼斯汽車城,1,1,14.5萬
NISSAN,TEANA,2006年,18.5萬公里,台中市/威尼斯汽車城,1,1,14.5萬
NISSAN,X-TRAIL,2004年,15.5萬公里,台中市/弘宇車業,1,1,13.5萬
MAZDA,MAZDA,2005年,23.9萬公里,嘉義市/龍順汽車,1,1,14.0萬
NISSAN,MARCH,2006年,13.4萬公里,台中市/泰洋車業有限公司,1,1,12.8萬
MAZDA,PREMACY,2002年,11.2萬公里,台中市/信義汽車,1,1,8.9萬
KIA,EURO,2005年,15萬公里,台中市/皇家汽車,1,1,14.0萬
MITSUBISHI,GLOBAL,2003年,17.8萬公里,苗栗縣/駿品汽車,1,1,13.8萬
MITSUBISHI,SAVRIN,2003年,11.7萬公里,彰化縣/新永隆汽車,1,1,14.8萬
TOYOTA,TERCEL,1998年,25.8萬公里,彰化縣/安心汽車,1,1,5.0萬
NISSAN,SENTRA,2003年,20.9萬公里,宜蘭縣/展宇汽車,1,1,12.0萬
TOYOTA,CAMRY,2004年,20.8萬公里,高雄市/巨將汽車,1,1,13.8萬
FORMOSA,MATIZ,2005年,12.7萬公里,嘉義市/龍順汽車,1,1,9.0萬
HONDA,FERIO,2001年,23萬公里,新竹縣/光華汽車,1,1,11.8萬
LEXUS,GS300,1998年,25.5萬公里,桃園市/忠泰汽車,1,1,15.0萬
MITSUBISHI,LANCER,2005年,15.3萬公里,新竹縣/順達汽車,1,1,13.8萬
TOYOTA,PREMIO,1999年,31.2萬公里,嘉義市/尚宏汽車,1,1,7.8萬
HYUNDAI,TUCSON,2007年,33.7萬公里,台北市/鴻揚汽車,1,1,12.8萬
MITSUBISHI,LANCER,2005年,16.9萬公里,彰化縣/弘益汽車,1,1,13.6萬
MITSUBISHI,GRUNDER,2006年,22萬公里,新北市/欣利汽車,1,1,9.8萬
NISSAN,SENTRA,2005年,14.1萬公里,台中市/泰洋車業有限公司,1,1,13.8萬
MAZDA,PREMACY,2005年,16.7萬公里,台中市/泰洋車業有限公司,1,1,13.8萬
SUZUKI,ESCUDO,1998年,15.8萬公里,台中市/詮豐汽車,1,1,8.8萬
HONDA,CIVIC,1998年,20.8萬公里,高雄市/一品汽車,1,1,7.8萬
FORD,TIERRA,2001年,20.8萬公里,高雄市/一品汽車,1,1,8.8萬
NISSAN,X-TRAIL,2004年,18.2萬公里,宜蘭縣/展宇汽車,1,1,13.8萬
VOLKSWAGEN,LUPO,2001年,20.1萬公里,嘉義市/龍順汽車,1,1,9.0萬
FORD,TIERRA,2007年,14.3萬公里,屏東縣/大衛汽車,1,1,14.8萬
MITSUBISHI,SPACE,2001年,12.3萬公里,桃園市/金程汽車,1,1,13.8萬
MITSUBISHI,VIRAGE,2003年,22萬公里,嘉義市/龍順汽車,1,1,8.0萬
PROTON,GEN,2005年,14.4萬公里,台中市/上嘉汽車,1,1,15.0萬
NISSAN,MARCH,2003年,11.1萬公里,台中市/上嘉汽車,1,1,10.0萬
NISSAN,X-TRAIL,2003年,23.4萬公里,台中市/弘宇車業,1,1,12.5萬
LEXUS,ES330,2004年,13.6萬公里,新北市/威龍汽車,1,1,9.8萬
TOYOTA,PREMIO,2001年,25.6萬公里,桃園市/忠泰汽車,1,1,9.8萬
FORD,TIERRA,2001年,22.1萬公里,嘉義市/宇勝汽車,1,1,7.8萬
SUZUKI,EVERY,2006年,14.5萬公里,嘉義市/宇勝汽車,1,1,14.8萬
FORD,FOCUS,2005年,12.9萬公里,彰化縣/廣興汽車,1,1,13.8萬
NISSAN,SENTRA,2004年,18.3萬公里,宜蘭縣/展宇汽車,1,1,12.8萬
NISSAN,TEANA,2005年,9.4萬公里,台中市/S嚴選汽車,1,1,13.8萬
